balance,annual_interest_rate,interest_rate_type,repayment_term,monthly_payment,account_update_date,account_type_id,users_id,,,
5573.51,,,,,1/20/2020 18:41,12,67,,,
422442.88,,,,,1/21/2020 1:10,9,5,,,
139830.22,,,,,1/21/2020 4:11,9,628,,,
43439.52,3.34,Float,70,95,1/21/2020 5:18,4,820,,,
288824.62,,,,,1/21/2020 12:51,9,860,,,
13827.12,4.15,Fixed,103,80,1/21/2020 16:26,4,876,,,
50453.72,0.69,Fixed,,,1/21/2020 20:24,13,606,,,
7062.42,,,,,1/21/2020 21:28,12,439,,,
161941.19,,,,,1/22/2020 2:04,9,239,,,
52660.28,2.49,Fixed,,,1/22/2020 3:25,13,966,,,
151467.17,5.71,Fixed,57,93,1/22/2020 3:36,4,753,,,
7351.75,29.72,Fixed,,,1/22/2020 9:20,6,590,,,
132578.03,4.1,Float,169,69,1/22/2020 22:16,4,751,,,
1741.32,10.19,Float,26,34,1/22/2020 22:16,3,751,,,
124847.3,,,,,1/22/2020 22:16,7,751,,,
"530,035.37",2.24,Float,6,17,1/23/2020 0:13,2,411,,,
129552.34,1.38,Fixed,,,1/23/2020 5:11,13,570,,,
2901.25,,,,,1/23/2020 5:11,12,570,,,
7089.09,,,,,1/23/2020 5:26,12,130,,,
24750.7,,,,,1/23/2020 13:14,9,716,,,
146051.38,2.06,Fixed,,,1/23/2020 15:56,13,298,,,
14839.27,26.62,Float,,,1/23/2020 18:34,6,880,,,
8242.6,23.78,Fixed,,,1/23/2020 20:20,6,132,,,
7063,,,,,1/23/2020 20:20,12,132,,,
417070.27,,,,,1/23/2020 20:20,9,132,,,
14416.38,2.11,Fixed,,,1/23/2020 20:42,14,472,,,
262539.79,,,,,1/23/2020 22:37,9,778,,,
113890.82,4.12,Float,163,63,1/23/2020 22:37,4,778,,,
9851.86,,,,,1/24/2020 12:39,12,580,,,
2386.05,18.43,Fixed,,,1/24/2020 18:41,6,707,,,
3370.63,,,,,1/24/2020 22:07,12,921,,,
291455,,,,,1/25/2020 11:30,9,720,,,
1708.37,18.17,Float,,,1/25/2020 11:45,6,597,,,
13120.58,7.62,Float,43,92,1/25/2020 20:02,4,791,,,
133949.16,,,,,1/26/2020 1:58,9,791,,,
6712.11,10.07,Fixed,,,1/26/2020 3:40,6,34,,,
"223,662.98",3.16,Fixed,359,47,1/26/2020 17:46,2,742,,,
20375.64,2.11,Fixed,,,1/26/2020 17:49,14,47,,,
3658.97,4.96,Fixed,59,71,1/27/2020 0:32,3,250,,,
5757.74,24.83,Fixed,,,1/27/2020 2:38,6,353,,,
121410.65,6.34,Fixed,128,25,1/27/2020 14:34,4,829,,,
197749.32,0.79,Fixed,,,1/27/2020 15:21,13,778,,,
9893.01,0.03,Fixed,,,1/27/2020 16:04,12,53,,,
1782.44,,,,,1/27/2020 20:37,9,920,,,
24017.31,5.16,Float,7,88,1/27/2020 23:31,5,751,,,
3658.29,19.06,Float,,,1/28/2020 2:00,6,244,,,
4588.23,28.27,Fixed,,,1/28/2020 2:09,6,751,,,
25519.29,,,,,1/28/2020 5:17,9,712,,,
"580,790.66",4.38,Fixed,67,42,1/28/2020 5:17,2,712,,,
16712.68,6.27,Float,7,50,1/28/2020 8:35,5,543,,,
44337.88,2.03,Float,,,1/28/2020 13:29,13,446,,,
119093.83,,,,,1/28/2020 16:00,7,735,,,
6530.83,,,,,1/28/2020 20:42,12,512,,,
9130.79,3.64,Fixed,,,1/28/2020 20:42,14,512,,,
5803.55,14.06,Fixed,,,1/28/2020 20:42,6,512,,,
41851.98,8.33,Fixed,39,13,1/28/2020 21:57,4,650,,,
280532.34,,,,,1/29/2020 0:58,9,268,,,
8299.76,,,,,1/29/2020 7:44,12,320,,,
4030.22,6.59,Float,2,50,1/29/2020 7:44,5,320,,,
18086.08,6.17,Fixed,21,81,1/29/2020 7:44,5,320,,,
"77,208.92",5.28,Float,321,39,1/29/2020 7:55,2,340,,,
133361.53,,,,,1/29/2020 8:45,9,993,,,
140277.58,0.98,Fixed,,,1/29/2020 16:07,13,299,,,
3041.45,6.87,Float,11,41,1/29/2020 20:23,3,355,,,
76735.36,4.69,Float,131,1,1/30/2020 10:54,4,88,,,
70115.29,8.17,Fixed,182,88,1/30/2020 12:21,4,999,,,
7734.71,,,,,1/30/2020 12:21,12,999,,,
"447,474.71",4.8,Fixed,25,47,1/30/2020 12:21,2,999,,,
"75,554.55",6.2,Float,222,23,1/30/2020 12:21,2,999,,,
7133.59,,,,,1/30/2020 13:54,9,295,,,
11659.02,21.07,Fixed,,,1/30/2020 14:26,6,901,,,
3459.6,17.5,Fixed,,,1/30/2020 14:30,6,435,,,
310901.78,,,,,1/30/2020 15:52,9,309,,,
6893.16,,,,,1/30/2020 19:24,12,50,,,
1881.43,27.09,Fixed,,,1/30/2020 19:24,6,50,,,
220647.72,2.36,Fixed,,,1/31/2020 0:38,13,275,,,
3068.19,8.65,Fixed,25,99,1/31/2020 0:38,3,275,,,
2383,4.93,Fixed,53,22,1/31/2020 0:38,3,275,,,
115386.37,,,,,1/31/2020 0:38,7,275,,,
14829.95,27.56,Fixed,,,1/31/2020 3:00,6,207,,,
4628.77,,,,,1/31/2020 3:17,12,202,,,
189579.7,8.11,Fixed,30,18,1/31/2020 8:07,4,126,,,
14696.22,26.48,Fixed,,,1/31/2020 8:33,6,58,,,
45618.98,,,,,1/31/2020 13:36,7,353,,,
11796.49,14.43,Float,,,1/31/2020 14:19,6,47,,,
2443.58,,,,,1/31/2020 20:14,12,969,,,
210837.26,,,,,2/1/2020 0:39,9,542,,,
173090.76,1.01,Float,,,2/1/2020 1:19,13,791,,,
5512.67,,,,,2/1/2020 2:16,12,289,,,
110933.93,8.44,Fixed,37,8,2/1/2020 12:50,4,746,,,
18901.48,4.25,Fixed,36,98,2/2/2020 1:27,5,739,,,
113796.02,1.39,Fixed,,,2/2/2020 2:06,13,250,,,
227455.99,,,,,2/2/2020 8:18,9,876,,,
73973.8,,,,,2/2/2020 8:21,9,600,,,
306.7,2.59,Fixed,,,2/2/2020 15:45,14,38,,,
"702,791.92",2.33,Float,290,69,2/2/2020 20:27,2,88,,,
57171.13,,,,,2/3/2020 1:53,7,993,,,
110598.02,,,,,2/3/2020 4:00,7,334,,,
29790.37,3.72,Fixed,161,15,2/3/2020 4:03,4,568,,,
6240.35,4.83,Fixed,17,99,2/3/2020 6:08,5,177,,,
186529.59,0.37,Float,,,2/3/2020 11:56,13,720,,,
189771.1,1.33,Float,,,2/3/2020 12:39,13,239,,,
2153.31,,,,,2/3/2020 14:43,12,189,,,
8467.64,17.61,Float,,,2/3/2020 16:14,6,340,,,
1982.21,,,,,2/3/2020 16:26,12,103,,,
8376.35,2.53,Fixed,,,2/3/2020 17:14,14,921,,,
24098.88,9.14,Float,39,23,2/3/2020 18:18,1,982,,,
49496.69,4.06,Float,70,31,2/3/2020 18:18,4,982,,,
5122.36,,,,,2/3/2020 18:31,12,236,,,
"450,103.28",1.94,Fixed,279,3,2/4/2020 1:20,2,446,,,
4035.54,,,,,2/4/2020 10:25,12,299,,,
36330.92,1.48,Fixed,,,2/4/2020 10:31,13,426,,,
25900.98,,,,,2/4/2020 10:31,7,426,,,
17033.18,6.78,Fixed,151,49,2/4/2020 16:57,4,137,,,
194026.31,1.7,Fixed,,,2/5/2020 0:25,13,5,,,
56067.32,,,,,2/5/2020 2:39,10,107,,,
3594.65,,,,,2/5/2020 2:39,12,107,,,
77825.97,0.57,Float,,,2/5/2020 2:39,13,107,,,
6439.64,10.64,Fixed,,,2/5/2020 3:30,6,786,,,
11675.14,1.99,Fixed,,,2/5/2020 3:32,14,132,,,
"165,203.51",5.95,Float,217,28,2/5/2020 6:33,2,514,,,
2993.58,3.59,Float,58,74,2/5/2020 14:43,5,426,,,
29939,,,,,2/5/2020 18:58,9,446,,,
65016.13,,,,,2/5/2020 19:17,10,802,,,
121229.85,4.11,Float,227,100,2/5/2020 21:36,4,478,,,
3095.82,,,,,2/6/2020 2:09,12,137,,,
140040.6,,,,,2/6/2020 4:11,9,351,,,
181095.32,,,,,2/6/2020 4:11,9,351,,,
133447.65,2,Float,,,2/6/2020 5:16,13,345,,,
559.38,,,,,2/6/2020 13:41,12,761,,,
"319,848.96",1.13,Fixed,318,69,2/6/2020 14:27,2,391,,,
234751.88,0.5,Float,,,2/6/2020 21:12,13,746,,,
72515.1,2.4,Fixed,,,2/6/2020 22:28,13,955,,,
"385,555.80",2.25,Float,279,13,2/7/2020 0:50,2,642,,,
2008.86,9.45,Fixed,22,7,2/7/2020 12:47,3,993,,,
61833.1,6.6,Float,125,37,2/7/2020 15:16,4,542,,,
257464.04,,,,,2/7/2020 16:19,9,900,,,
8007.01,,,,,2/7/2020 20:08,10,739,,,
6323.82,25.03,Fixed,,,2/7/2020 20:17,6,675,,,
83563.06,8.39,Float,215,4,2/8/2020 0:11,4,135,,,
62687.85,,,,,2/8/2020 0:11,10,135,,,
19204.05,,,,,2/8/2020 3:10,10,215,,,
69096.17,4.34,Float,100,21,2/8/2020 3:43,4,286,,,
47545.2,,,,,2/8/2020 6:07,9,922,,,
98263.64,5.76,Fixed,233,46,2/8/2020 6:07,4,922,,,
17022.07,4.09,Float,40,74,2/8/2020 6:07,5,922,,,
367244.93,,,,,2/8/2020 6:07,9,922,,,
2272.49,,,,,2/8/2020 20:12,12,597,,,
7128.81,,,,,2/8/2020 20:45,12,913,,,
142074.63,0.76,Fixed,,,2/8/2020 21:34,13,347,,,
7923.17,,,,,2/8/2020 22:25,12,297,,,
14104.01,10.81,Float,,,2/9/2020 3:44,6,310,,,
868.08,4.22,Fixed,,,2/9/2020 5:57,14,5,,,
194543.63,1.34,Float,,,2/9/2020 20:13,13,838,,,
115604.37,5.15,Fixed,123,17,2/9/2020 21:02,4,586,,,
84225.96,,,,,2/9/2020 21:02,9,337,,,
9659.9,,,,,2/9/2020 23:17,12,82,,,
8968.78,17.14,Float,,,2/9/2020 23:17,6,82,,,
77210.26,,,,,2/10/2020 1:50,7,536,,,
154.62,4.01,Fixed,,,2/10/2020 1:50,14,536,,,
137489.06,5.91,Float,117,6,2/10/2020 4:53,4,465,,,
126731.35,5.68,Float,87,88,2/10/2020 4:53,4,465,,,
12943.08,6.05,Float,55,59,2/10/2020 6:25,5,113,,,
92630.22,1.91,Fixed,,,2/10/2020 7:18,13,441,,,
172691,,,,,2/10/2020 8:27,8,117,,,
682.97,,,,,2/10/2020 10:39,12,333,,,
65978.58,,,,,2/10/2020 10:39,9,333,,,
2305.4,23.61,Float,,,2/10/2020 10:49,6,784,,,
"221,883.90",5.3,Float,194,74,2/10/2020 11:32,2,328,,,
45398.15,,,,,2/10/2020 14:45,7,240,,,
138582.61,5.58,Float,141,80,2/10/2020 14:45,4,240,,,
"688,461.83",6.06,Fixed,166,72,2/11/2020 11:17,2,216,,,
47665.03,5.88,Float,97,48,2/11/2020 13:34,4,27,,,
"708,603.78",3.01,Fixed,82,39,2/11/2020 16:55,2,411,,,
22714.83,5,Float,47,70,2/11/2020 19:03,5,548,,,
23493.53,6.12,Fixed,7,45,2/11/2020 19:03,5,548,,,
9675.95,,,,,2/11/2020 19:15,12,441,,,
47101.77,4.95,Fixed,142,64,2/11/2020 22:59,4,504,,,
927.92,14.64,Fixed,,,2/11/2020 22:59,6,504,,,
2682.21,26.34,Float,,,2/12/2020 0:52,6,132,,,
14992.46,,,,,2/12/2020 14:32,10,704,,,
3566.96,,,,,2/12/2020 18:45,12,461,,,
130372.31,,,,,2/12/2020 18:45,7,461,,,
146659.16,,,,,2/13/2020 0:34,9,129,,,
5101.99,,,,,2/13/2020 5:45,12,524,,,
4338.42,17.67,Fixed,,,2/13/2020 7:27,6,408,,,
5999.09,,,,,2/13/2020 7:27,12,408,,,
11950.92,4.58,Fixed,31,57,2/13/2020 7:44,5,916,,,
845.52,17.33,Fixed,,,2/13/2020 9:43,6,956,,,
200267.26,1.97,Float,,,2/13/2020 13:47,13,200,,,
186255.33,2.07,Fixed,,,2/13/2020 16:27,13,264,,,
239692.07,,,,,2/13/2020 20:20,8,135,,,
37329.38,6.9,Float,154,71,2/13/2020 21:58,4,401,,,
4604.04,,,,,2/13/2020 23:35,12,295,,,
14872.24,5.11,Float,116,65,2/14/2020 2:34,4,960,,,
2096.32,,,,,2/14/2020 3:55,12,617,,,
8362.35,,,,,2/14/2020 10:10,12,885,,,
135828.15,3.78,Float,147,97,2/14/2020 10:13,4,772,,,
2422.7,,,,,2/14/2020 12:58,12,600,,,
92215.77,0.86,Fixed,,,2/14/2020 16:50,13,597,,,
33699.72,,,,,2/15/2020 5:43,11,45,,,
332054.4,,,,,2/15/2020 7:04,9,774,,,
3698.1,21.35,Float,,,2/15/2020 7:04,6,774,,,
92198.54,,,,,2/15/2020 7:04,7,774,,,
1523.22,,,,,2/15/2020 9:41,12,13,,,
"571,391.71",2.89,Float,250,67,2/15/2020 9:41,2,13,,,
12416.94,28.67,Float,,,2/15/2020 17:02,6,681,,,
24206.98,,,,,2/15/2020 18:58,10,575,,,
50098.13,1.6,Fixed,,,2/15/2020 22:01,13,433,,,
6495.5,27.05,Fixed,,,2/15/2020 22:01,6,433,,,
14202.66,5.93,Float,47,43,2/16/2020 0:30,5,608,,,
24208.01,5.76,Float,50,5,2/16/2020 4:48,5,88,,,
"725,539.81",2.05,Float,325,43,2/16/2020 7:35,2,624,,,
78856.49,,,,,2/16/2020 7:54,8,641,,,
10482.69,13.16,Fixed,,,2/16/2020 7:54,6,641,,,
212769.48,,,,,2/16/2020 11:40,8,608,,,
660.42,5.2,Fixed,6,27,2/16/2020 16:22,3,87,,,
34288.09,0.68,Fixed,,,2/16/2020 18:18,13,750,,,
1339.82,5.1,Fixed,53,43,2/16/2020 18:18,3,750,,,
13853.06,19.6,Float,,,2/16/2020 23:42,6,274,,,
14596.87,20.44,Fixed,,,2/16/2020 23:42,6,274,,,
24895.21,3.49,Fixed,52,92,2/16/2020 23:42,5,274,,,
125531.89,,,,,2/17/2020 0:26,7,27,,,
11858.35,0.7,Float,,,2/17/2020 2:20,13,87,,,
6724.83,,,,,2/17/2020 2:40,12,446,,,
222335.55,1.32,Float,,,2/17/2020 7:02,13,575,,,
4257.7,,,,,2/17/2020 8:32,12,337,,,
177296.11,0.77,Float,,,2/17/2020 9:30,13,802,,,
"485,272.80",1.09,Fixed,232,55,2/17/2020 10:01,2,395,,,
5594.13,22.81,Float,,,2/17/2020 10:01,6,395,,,
43046.75,,,,,2/17/2020 10:10,10,787,,,
8338.75,,,,,2/17/2020 15:02,12,356,,,
85690.93,0.18,Float,,,2/17/2020 18:06,13,132,,,
187319.51,4.1,Fixed,75,12,2/17/2020 21:42,4,82,,,
32904.52,,,,,2/17/2020 22:24,11,525,,,
69134.86,,,,,2/18/2020 0:06,7,426,,,
221820.38,0.15,Fixed,,,2/18/2020 4:42,13,351,,,
141.69,,,,,2/18/2020 8:32,12,479,,,
60124.91,1.4,Float,,,2/18/2020 9:34,13,559,,,
5805.39,,,,,2/18/2020 9:34,12,559,,,
166528.43,,,,,2/18/2020 10:35,8,800,,,
7316.74,29.35,Float,,,2/18/2020 10:35,6,800,,,
"580,451.07",1.32,Fixed,179,78,2/18/2020 12:17,2,435,,,
8793.32,14.6,Fixed,,,2/18/2020 14:11,6,524,,,
30853.73,3.84,Fixed,214,80,2/18/2020 14:47,4,570,,,
45769.27,,,,,2/18/2020 15:05,7,548,,,
187123.73,1.23,Fixed,,,2/19/2020 1:02,13,334,,,
41633.45,0.67,Float,,,2/19/2020 1:53,13,740,,,
2383.56,27.98,Fixed,,,2/19/2020 2:51,6,253,,,
12558,5.27,Float,20,15,2/19/2020 7:58,1,956,,,
3686.36,,,,,2/19/2020 12:15,12,759,,,
6386.46,,,,,2/19/2020 15:43,12,239,,,
3793.19,,,,,2/20/2020 0:25,12,511,,,
188784.06,0.74,Float,,,2/20/2020 0:25,13,511,,,
1181.58,,,,,2/20/2020 11:58,12,395,,,
49631.18,1.68,Float,,,2/20/2020 12:16,13,738,,,
62012.79,2.09,Float,,,2/20/2020 13:48,13,207,,,
6629,29.17,Fixed,,,2/20/2020 17:57,6,113,,,
1634.99,25.88,Float,,,2/20/2020 19:03,6,351,,,
12501.65,,,,,2/20/2020 22:07,9,929,,,
5781.87,,,,,2/20/2020 22:07,12,929,,,
"198,318.97",5.32,Float,177,59,2/21/2020 8:20,2,489,,,
76514.56,2.14,Fixed,,,2/21/2020 17:30,13,309,,,
"65,021.01",3.98,Float,280,86,2/22/2020 1:27,2,858,,,
155509.66,2.19,Fixed,,,2/22/2020 2:39,13,913,,,
80511.38,,,,,2/22/2020 6:22,7,233,,,
52046.76,,,,,2/22/2020 10:08,7,874,,,
7474.52,,,,,2/22/2020 10:08,12,874,,,
43577.64,1.59,Float,,,2/22/2020 14:47,13,921,,,
"582,296.08",6.36,Fixed,3,36,2/23/2020 6:52,2,717,,,
79682.79,,,,,2/23/2020 7:44,7,275,,,
181861.43,0.3,Fixed,,,2/23/2020 8:57,13,193,,,
20243,3.17,Fixed,13,72,2/23/2020 12:24,5,863,,,
7103.45,,,,,2/23/2020 13:28,11,671,,,
8070.7,,,,,2/23/2020 13:56,12,569,,,
159527.04,,,,,2/23/2020 13:56,9,569,,,
136271.06,,,,,2/23/2020 19:36,9,588,,,
197264.74,4.66,Float,232,89,2/23/2020 19:36,4,588,,,
153807.72,1.12,Fixed,,,2/23/2020 19:36,13,588,,,
4123.03,,,,,2/23/2020 20:28,11,286,,,
4673.41,,,,,2/23/2020 20:42,12,405,,,
86363.24,1.18,Fixed,,,2/23/2020 21:03,13,355,,,
"719,261.00",5.66,Float,109,87,2/23/2020 21:27,2,411,,,
172522.54,1.83,Float,,,2/23/2020 22:40,13,912,,,
809.05,6.91,Fixed,40,33,2/24/2020 1:33,3,550,,,
61845.16,0.01,Fixed,,,2/24/2020 7:04,13,177,,,
3209.24,,,,,2/24/2020 13:58,12,735,,,
544.53,6.57,Fixed,24,25,2/24/2020 14:00,3,434,,,
9978.64,3.24,Float,15,81,2/24/2020 14:00,5,434,,,
16341.81,5.77,Float,50,48,2/24/2020 21:22,5,848,,,
"424,792.80",5.04,Fixed,148,26,2/24/2020 21:22,2,848,,,
6309.35,,,,,2/25/2020 2:42,12,435,,,
423004.58,,,,,2/25/2020 4:03,9,772,,,
9628.62,28.41,Fixed,,,2/25/2020 4:17,6,820,,,
10065.39,23.72,Float,,,2/25/2020 9:09,6,568,,,
52478.59,0.14,Fixed,,,2/25/2020 16:59,13,920,,,
9795.58,,,,,2/25/2020 19:27,12,784,,,
7365.5,,,,,2/26/2020 3:33,12,973,,,
"358,604.52",3.95,Fixed,73,68,2/26/2020 3:33,2,973,,,
902.79,16.64,Float,,,2/26/2020 5:52,6,802,,,
179692.29,1.03,Float,,,2/26/2020 6:07,13,130,,,
123724.68,,,,,2/26/2020 11:24,7,974,,,
19228.14,3.08,Fixed,,,2/26/2020 13:58,14,845,,,
401106.29,,,,,2/26/2020 14:26,9,514,,,
14655.52,4.06,Fixed,31,100,2/26/2020 15:08,5,717,,,
9054.95,12.46,Fixed,,,2/26/2020 16:22,6,765,,,
132209.32,,,,,2/26/2020 16:22,7,765,,,
1307.26,,,,,2/26/2020 17:31,12,159,,,
119310.87,,,,,2/26/2020 18:30,7,536,,,
22641.14,5.86,Float,4,98,2/26/2020 22:15,5,179,,,
224928.32,0.3,Float,,,2/27/2020 0:35,13,35,,,
62156.74,,,,,2/27/2020 5:21,11,439,,,
"396,884.36",3.58,Fixed,63,23,2/27/2020 7:12,2,650,,,
49904.52,,,,,2/27/2020 7:44,9,800,,,
11861.6,4.41,Float,38,89,2/27/2020 16:06,5,53,,,
2021.91,,,,,2/27/2020 20:01,10,243,,,
4954.36,,,,,2/27/2020 23:39,12,875,,,
72200.69,,,,,2/28/2020 1:12,10,345,,,
79406.01,1.72,Fixed,,,2/28/2020 5:35,13,434,,,
116624.5,,,,,2/28/2020 6:07,8,58,,,
30975.76,7.25,Float,226,85,2/28/2020 7:15,4,852,,,
6927.08,,,,,2/28/2020 7:15,12,852,,,
12725.32,26.51,Float,,,2/28/2020 7:15,6,852,,,
103622.1,1.62,Fixed,,,2/28/2020 10:26,13,292,,,
3170.03,16.93,Fixed,,,2/28/2020 10:26,6,292,,,
9570.31,,,,,2/28/2020 10:26,12,292,,,
224062,,,,,2/28/2020 12:39,9,786,,,
3783.25,6.5,Fixed,54,38,2/28/2020 13:25,3,751,,,
13892.71,4.88,Float,35,53,2/28/2020 13:34,5,372,,,
20663.22,5.59,Fixed,35,19,2/28/2020 13:34,5,372,,,
104880.32,1.85,Fixed,,,2/28/2020 13:49,13,751,,,
68017.91,3.76,Float,79,53,2/28/2020 14:36,4,71,,,
77179.03,1.65,Fixed,,,2/28/2020 19:58,13,171,,,
759.59,,,,,2/29/2020 6:48,12,645,,,
295132.73,,,,,2/29/2020 8:35,9,661,,,
318854.16,,,,,2/29/2020 9:40,9,548,,,
"98,323.88",0.55,Float,192,72,2/29/2020 9:43,2,960,,,
22044.68,2.93,Fixed,,,2/29/2020 12:30,14,306,,,
9096.7,21.47,Fixed,,,2/29/2020 12:32,6,45,,,
2643.38,,,,,2/29/2020 20:16,12,462,,,
6230.33,10.63,Fixed,,,3/1/2020 1:05,6,434,,,
12977.22,19.96,Float,,,3/1/2020 1:42,6,768,,,
217609.17,1.51,Fixed,,,3/1/2020 2:42,13,126,,,
30351.03,,,,,3/1/2020 2:50,7,662,,,
42423.16,,,,,3/1/2020 5:08,7,178,,,
9625.62,,,,,3/1/2020 5:08,12,178,,,
307122.67,,,,,3/1/2020 5:08,9,178,,,
74461.13,,,,,3/1/2020 5:08,7,178,,,
"26,860.83",3.09,Float,204,56,3/1/2020 5:08,2,178,,,
4542.12,,,,,3/1/2020 5:32,12,263,,,
180210.44,,,,,3/1/2020 8:35,9,460,,,
2337.91,,,,,3/1/2020 8:35,11,460,,,
38153.58,1.16,Float,,,3/1/2020 8:35,13,460,,,
58107.11,1.24,Float,,,3/1/2020 11:05,13,774,,,
9018.85,,,,,3/1/2020 12:14,12,16,,,
31415.69,,,,,3/1/2020 13:06,7,900,,,
127152.16,6.87,Fixed,35,98,3/1/2020 16:41,4,915,,,
67471.14,,,,,3/1/2020 20:51,10,289,,,
8871.97,,,,,3/1/2020 21:24,10,530,,,
168205.59,3.18,Float,57,41,3/1/2020 21:58,4,233,,,
7590.57,,,,,3/1/2020 23:33,12,396,,,
1065.39,,,,,3/2/2020 2:26,12,770,,,
83749.06,1.39,Float,,,3/2/2020 3:42,13,167,,,
110.73,1.79,Fixed,,,3/2/2020 4:10,14,547,,,
112788.53,1.78,Fixed,,,3/2/2020 4:10,13,547,,,
2452.79,,,,,3/2/2020 4:10,12,547,,,
210995.47,0.41,Float,,,3/2/2020 4:41,13,359,,,
9179.59,2.69,Fixed,,,3/2/2020 4:41,14,359,,,
73279.75,4.62,Fixed,61,19,3/2/2020 8:00,4,530,,,
2523.51,19.33,Fixed,,,3/2/2020 8:30,6,608,,,
"716,320.81",2.05,Float,105,57,3/2/2020 10:41,2,995,,,
229167.11,1.68,Fixed,,,3/2/2020 10:41,13,995,,,
12757.68,4.38,Fixed,,,3/2/2020 10:41,14,995,,,
"5,675.51",1.51,Float,128,57,3/2/2020 10:41,2,995,,,
8335.96,,,,,3/2/2020 19:46,12,72,,,
7508.2,,,,,3/3/2020 3:23,12,254,,,
134116.74,,,,,3/3/2020 3:23,7,254,,,
108245.97,7.66,Fixed,163,26,3/3/2020 4:07,4,264,,,
"565,883.89",2.04,Fixed,106,94,3/3/2020 5:23,2,449,,,
"512,752.00",1.31,Float,123,47,3/3/2020 5:55,2,606,,,
160924.11,1.98,Float,,,3/3/2020 6:57,13,71,,,
45933.47,,,,,3/3/2020 7:16,10,983,,,
4338.66,,,,,3/3/2020 7:16,12,983,,,
21324.04,2,Fixed,,,3/3/2020 9:24,14,891,,,
122446.77,2,Fixed,,,3/3/2020 11:24,13,113,,,
138825.97,5.26,Float,164,85,3/3/2020 12:00,4,113,,,
106746.74,1.18,Fixed,,,3/3/2020 12:36,13,407,,,
4792.77,,,,,3/3/2020 18:16,12,414,,,
241269.64,1.27,Float,,,3/3/2020 21:15,13,50,,,
6192.8,,,,,3/3/2020 22:05,12,250,,,
14380.3,19.94,Float,,,3/3/2020 22:45,6,511,,,
130888.64,4.45,Fixed,165,80,3/3/2020 23:13,4,921,,,
189926.37,,,,,3/4/2020 0:51,9,813,,,
3443.89,,,,,3/4/2020 4:42,12,401,,,
51499.52,2.24,Float,,,3/4/2020 5:07,13,569,,,
"204,269.52",0.83,Float,354,97,3/4/2020 7:04,2,939,,,
199760.97,6.47,Float,90,64,3/4/2020 7:04,4,939,,,
98358.45,8.47,Fixed,175,27,3/4/2020 7:04,4,939,,,
5608.98,,,,,3/4/2020 13:33,12,397,,,
356467.69,,,,,3/4/2020 17:11,9,151,,,
220060.27,0,Float,,,3/4/2020 17:11,13,151,,,
24508.53,5.79,Float,35,74,3/4/2020 17:11,5,151,,,
65528.33,,,,,3/4/2020 18:58,7,671,,,
130816.09,,,,,3/4/2020 21:45,9,167,,,
9195.88,,,,,3/5/2020 1:52,12,829,,,
22684.74,3.7,Fixed,14,99,3/5/2020 4:43,5,212,,,
25312.98,2.33,Float,,,3/5/2020 7:33,13,837,,,
2404.37,,,,,3/5/2020 8:25,12,514,,,
5833.76,,,,,3/5/2020 9:22,12,550,,,
76231.38,7.37,Float,73,69,3/5/2020 9:49,4,652,,,
